순번,회사명,공장대표주소,업종명,생산품,전화번호,팩스번호
337,(주)라코텍,경상남도 창원시 의창구 북면 동전로 251,자동차 엔진용 신품 부품 제조업 외 1 종,"자동차엔진 부품, 자동변속기 부품",055-237-1969,055-237-1970
338,(주)로봇밸리,경상남도 창원시 성산구 창곡로 132 (신촌동),산업용 로봇 제조업,자동화설비및소프트웨어,055-286-9245,055-286-9248
339,(주)로아메드,"경상남도 창원시 성산구 완암로 50, 메카동 2층 208호 (성산동, SK테크노파크) 메카동 2층 208호",그 외 기타 의료용 기기 제조업,채혈침 및 채혈기 외,055-262-0052,055-262-8852
340,(주)로이스,경상남도 창원시 의창구 대산면 유등로369번길 8,기타 인쇄업,종이호일,070-7390-3629,050-4154-3629
341,(주)로지텍,경상남도 창원시 마산회원구 봉암북13길 21-3 (봉암동),산업용 트럭 및 적재기 제조업 외 1 종,"리프트, 전동대차, AGV외",055-238-6141,055-238-6140
342,(주)로텍,경상남도 창원시 의창구 팔용로 343 (팔용동),전동기 및 발전기 제조업 외 4 종,초고압 자단기 부품,055-296-1191,055-296-1196
343,(주)로토스,"경상남도 창원시 성산구 완암로 50, 메카동 9층 911호 (성산동, SK테크노파크)",배전반 및 전기 자동제어반 제조업,"자동제어반, 콘트롤러",055-275-7553,055-287-7553
344,(주)로파,경상남도 창원시 성산구 월림로65번길 34 (신촌동),산업용 로봇 제조업,로봇자동화설비,055-714-7747,055-714-7748
345,(주)루텍,"경상남도 창원시 성산구 불모산로10번길 10, 한국전기연구원창업보육센터 (성주동) 외 3필지",속도계 및 적산계기 제조업 외 2 종,디지털파워메터,055-267-0910,055-267-0912
346,(주)리드에이텍,"경상남도 창원시 성산구 완암로 50, 테크동 107-1호 (성산동, SK테크노파크)",주형 및 금형 제조업,반도체 금형부품,055-605-4466,055-605-4466
347,(주)마린산업,경상남도 창원시 마산합포구 진북면 진북산업로 511 외 2필지,합성수지선 건조업 외 10 종,선박부품,055-271-8806,055-271-3056
348,(주)마린펄프,"경상남도 창원시 진해구 마천로18번길 27, 2층 203 (마천동)",천연수지 및 나무 화학물질 제조업 외 1 종,홍조류를 이용한 천연수지,055-546-5388,055-546-5389
349,(주)마산특수강,경상남도 창원시 의창구 평산로78번길 47 (팔용동),구조용 금속 판제품 및 공작물 제조업,하우징,055-296-3021,055-296-3023
350,(주)마산푸드,"경상남도 창원시 마산합포구 수산1길 18 (신포동1가, 마산푸드)",수산동물 냉동품 제조업,수생동물 가공,055-224-2346,055-243-4777
351,(주)마스타,경상남도 창원시 의창구 평산로70번길 1 (팔용동),유선 통신장비 제조업 외 12 종,전자계측기 등,055-297-8880,055-256-7388
352,(주)마천캐스터 제1공장,경상남도 창원시 진해구 남의로43번길 35 (남양동),선철주물 주조업,주물,055-552-3522,055-552-3524
353,(주)마천캐스트,경상남도 창원시 진해구 남의로43번길 35 (남양동),선철주물 주조업 외 1 종,산업기기,055-552-3522,055-552-3524
354,(주)마천캐스트2공장,경상남도 창원시 진해구 남영로522번길 72 (남양동),그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,단관생산가공,055-552-3522,055-552-3524
355,(주)맑은내일,경상남도 창원시 의창구 북면 천주로1173번길 29 (창원단감가공센터),탁주 및 약주 제조업,"약주, 과실주 외",055-264-0997,055-532-3900
356,(주)맑은하늘,"경상남도 창원시 의창구 차룡로48번길 44, 1동 10층 1005호(팔용동) 1동 10층 1005호",구조용 금속 판제품 및 공작물 제조업,태양광 설비구조물,055-265-2018,055-273-6913
357,(주)매일마린,경상남도 창원시 마산합포구 가포동 651번지,"증류기, 열교환기 및 가스발생기 제조업 외 5 종","열교환기, 발전, 반도체 설비 가공",055-710-1500,055-710-1501
358,(주)매트론,경상남도 창원시 마산합포구 가포신항남로 12-9 (가포동),그 외 기타 전자부품 제조업 외 5 종,"전력선 통신용부품, 철도차량부품",055-232-5941,
359,(주)맥스,"경상남도 창원시 의창구 사화로 210, 2층 216호 (팔용동)",자동차용 신품 전기장치 제조업 외 1 종,"산업설비 제어용 콘드롤러, 전장부품 검사기",055-238-3540,055-238-3543
360,(주)맥시,경상남도 창원시 의창구 죽전로68번길 43 (팔용동),배전반 및 전기 자동제어반 제조업 외 1 종,공작기계 제어판넬,055-287-1455,055-287-1456
361,(주)맨도롱,경상남도 창원시 마산회원구 내서읍 윗구슬길 2-50,산업용 난방보일러 및 방열기 제조업,온수관 보일러,064-733-4566,064-732-4566
362,(주)맵스코,"경상남도 창원시 성산구 완암로 50, 메카동 10층 1001호 (성산동, SK테크노파크)",그 외 기타 전기장비 제조업,세이프티 엣지 외,055-266-3501,055-980-2350
363,(주)메가테크,"경상남도 창원시 의창구 죽전로82번길 35, 제5아파트형공장 3층 334호 (팔용동) 3층 334호 외 1필지",배전반 및 전기 자동제어반 제조업 외 1 종,"메모리시트용 PCB조리품, RPM 센서, 콘트롤러",055-287-4417,055-287-4496
364,(주)메인,경상남도 창원시 성산구 반월로60번길 9 (신촌동),내연기관 제조업,"선반shaft, 발전부품",055-291-9202,055-583-9201
365,(주)메트로테크,"경상남도 창원시 성산구 연덕로15번길 47 (웅남동, 메트로테크)",절삭가공 및 유사처리업,전자부품 M/D 및 P/D 시제품,055-286-6896,055-286-6892
366,(주)명진기공,경상남도 창원시 의창구 팔용로359번길 21 (팔용동),승강기 제조업 외 2 종,"철도차량부품, 엘리베이터 에스커레이터부품",055-299-7297,055-299-0318
367,(주)명진전자정밀,"경상남도 창원시 의창구 창원대로363번길 11, 7동 1층 12호 (팔용동, 창원제3표준공장) 7동 12호",기타 전기 변환장치 제조업 외 4 종,"배전반,특수케이블,방산전장품",055-251-2808,055-251-2809
368,(주)명품식품,"경상남도 창원시 진해구 속천로 81 (대죽동, 명품식품)",육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,"우육, 돈육",055-541-0028,055-541-0202
369,(주)모던텍,"경상남도 창원시 의창구 소계로 12, 그린동 201, 301호(팔용동, 창원테크노밸리) 그린동 201, 301호",배전반 및 전기 자동제어반 제조업 외 2 종,전기공급 및 제어장치,055-604-1860,
370,(주)모트롤,경상남도 창원시 성산구 완암로 171 (내동) 외 1필지,유압기기 제조업 외 3 종,"유압기기, 전동지게차,산업기계 외",055-269-5151,055-269-5221
371,(주)모트롤,경상남도 창원시 마산합포구 진북면 산단1길 29-30,무기 및 총포탄 제조업,방산물자,055-269-5209,055-269-5220
372,(주)몬스솔라,경상남도 창원시 마산합포구 진북면 추곡2길 61,일반철물 제조업 외 3 종,"철 구조물, 배전반 및 전기자동제어반, 태양광발전장치",055-271-7712,055-715-7713
373,(주)무궁화용사촌 진해지점,경상남도 창원시 진해구 백구로 93 (수송동),셔츠 및 블라우스 제조업 외 25 종,"군복,근무복,양복,양장",042-585-1998,042-585-5104
374,(주)무룡,경상남도 창원시 마산회원구 봉암공단13길 30 (봉암동),도장 및 기타 피막처리업 외 1 종,"자동차 부품(Valve Body, Valve Spool)",055-296-0162,055-255-0383
375,(주)무학,"경상남도 창원시 마산회원구 봉암공단2길 6 (봉암동, (주)무학) 외 1필지",기타 증류주 및 합성주 제조업,소주외 26종,070-7576-2077,050-2291-2226
376,(주)무학중리공장,경상남도 창원시 마산회원구 내서읍 중리공단로4길 26-56 ((주)무학중리공장창고) (총 2 필지) 외 1필지,기타 증류주 및 합성주 제조업 외 1 종,"매실주, 과실주",070-7576-2149,050-5293-2121
377,(주)미광전기,"경상남도 창원시 성산구 웅남로 316, 1동 1층 108, 208, 308, 408 (웅남동)",배전반 및 전기 자동제어반 제조업,"배전반, 자동제어반",055-265-6212,055-265-6214
378,(주)미래에스비,경상남도 창원시 성산구 반월로 61-11 (신촌동),그 외 기타 일반목적용 기계 제조업 외 3 종,에어크린매트(신발바닥청소기),070-7514-7772,070-4090-7772
379,(주)미래제어,"경상남도 창원시 성산구 완암로 50, 메카동 3층 307호 (성산동, SK테크노파크)",배전반 및 전기 자동제어반 제조업,제어반 설계 및 제작,055-297-5623,055-297-5624
380,(주)미래테크,경상남도 창원시 성산구 완암로 171 (내동),유압기기 제조업,유압기기,055-269-5417,055-269-5464
381,(주)미래테크윈,"경상남도 창원시 의창구 평산로8번길 37-24 (팔용동, (주)신광테크)",기타 가정용 전기기기 제조업,냉장고 부품,032-812-6073,032-812-6076
382,(주)미래하이테크,경상남도 창원시 성산구 연덕로9번길 18 (웅남동),절삭가공 및 유사처리업 외 1 종,농기계부품,055-286-3142,055-286-3143
383,(주)미로테크,"경상남도 창원시 의창구 반계로 33, 벤처동 1층 101 (팔용동)",그 외 기타 전자부품 제조업 외 1 종,"artwork설계, 인쇄회로기판",055-262-3937,055-259-5383
384,(주)미소,"경상남도 창원시 성산구 신월로 42, 114호, 115호 (신월동)",그 외 기타 의료용 기기 제조업,의료용기기 등,055-263-0977,055-238-5379
385,(주)배진금속,경상남도 창원시 마산합포구 진북면 산단2길 46-57,볼트 및 너트류 제조업 외 2 종,유압용관이음쇠,055-583-6522,055-583-6510
386,(주)백경,"경상남도 창원시 의창구 창원대로18번길 22, 202호, 204호 (팔용동)",낚시 및 수렵용구 제조업,전자낚시찌,055-255-1127,055-260-0182
387,(주)백마정밀,경상남도 창원시 의창구 북면 마산길42번길 2,주형 및 금형 제조업 외 1 종,치공구 및 금속절삭가공기계,,055-299-9266
388,(주)백심정밀,경상남도 창원시 성산구 공단로271번길 11 (웅남동),자동차용 신품 동력전달장치 제조업 외 1 종,기어류 치연삭,055-263-2003,055-264-2275
389,(주)백인,"경상남도 창원시 성산구 연덕로15번길 51-12 (웅남동, 해광사)",절삭가공 및 유사처리업,"치공구, 방산부품",055-286-9605,055-286-9606
390,(주)범미산업,경상남도 창원시 성산구 월림로25번길 23 (신촌동),육상 금속 골조 구조재 제조업 외 1 종,철골조립구조재,055-283-4373,055-283-4383
391,(주)범아정밀,경상남도 창원시 의창구 북면 감계로156번길 5-11,절삭가공 및 유사처리업,공작기계부품,055-237-5188,
392,(주)범아테크,경상남도 창원시 의창구 동읍 자여로 50-13,산업용 냉장 및 냉동 장비 제조업,산업용 냉동장비,055-299-6270,055-299-6480
393,(주)범안,"경상남도 창원시 의창구 대산면 가술산단남로 70, (가술리 704-1)",선박 구성 부분품 제조업 외 4 종,"선박구성부분품, 전기회로개폐,보호장치",055-252-8399,055-252-8398
394,(주)벧엘,경상남도 창원시 성산구 연덕로27번길 24 (웅남동),절삭가공 및 유사처리업,"모터부품,방산부품",055-294-0075,
395,(주)보경,경상남도 창원시 의창구 대산면 가술산단남로 94,자동차용 신품 동력전달장치 제조업,자동차 부품,070-7792-6832,055-3466-832
396,(주)보배유통,경상남도 창원시 마산회원구 봉암공단7길 39 (봉암동),가금류 가공 및 저장 처리업,육계,055-295-4588,055-262-4781
397,(주)보성레미콘,경상남도 창원시 의창구 북면 내곡리 1336-5번지 외 1필지 외 1필지,레미콘 제조업,레미콘,055-299-8272,055-299-8349
398,(주)부건이엔지,경상남도 창원시 마산회원구 내서읍 수곡로 115,전투용 차량 제조업,전투용 차량부품(주차브레이크),055-231-7120,055-231-7121
399,(주)부경,경상남도 창원시 성산구 연덕로27번길 10 (웅남동),항공기용 부품 제조업,항공기용 부품,055-237-6331,055-237-6336
400,(주)부경,"경상남도 창원시 성산구 곰절길9번길 7, (주)부경 (성주동)",항공기용 부품 제조업,항공기엔진케이스,055-237-6331,055-237-6336
401,(주)부경산업,경상남도 창원시 의창구 동읍 동읍로 518,금속 표시판 제조업 외 5 종,"도로표시판, 교통시설물, 발코니휀스, 금속블라드, 에폭시혼합물",055-253-8115,055-253-8114
402,(주)부광피앤티,경상남도 창원시 마산회원구 봉암공단14길 8 (봉암동),디스플레이 제조용 기계 제조업,"디스플레이장비 배관, 제작, 설치, 시운전",055-294-7549,055-296-7523
403,(주)부국,경상남도 창원시 성산구 월림로39번길 63-23 (신촌동),주형 및 금형 제조업,금형부품,055-275-0927,055-275-0926
404,(주)부길스프링,경상남도 창원시 성산구 연덕로15번길 66 (웅남동),금속 스프링 제조업 외 1 종,"가공품(절삭가공), 전기",055-273-0910,055-273-0920
405,(주)부산해정식품,경상남도 창원시 진해구 속천로 91 (대죽동),"수산동물 훈제, 조리 및 유사 조제식품 제조업",어묵,055-542-1117,055-542-6004
406,(주)부용,경상남도 창원시 마산합포구 가포신항북2길 4 (가포동),주형 및 금형 제조업,자동차변속기조립부품,055-286-2240,055-286-2280
407,(주)부일,경상남도 창원시 마산합포구 진북면 진북산업로 459,차체 및 특장차 제조업 외 1 종,특장차,055-222-8185,055-247-6006
408,(주)부평디엔피,경상남도 창원시 마산합포구 중앙남8길 6 (중앙동2가),경 인쇄업 외 2 종,인쇄물,055-247-6045,055-247-6044
409,(주)브이이이,경상남도 창원시 의창구 대산면 봉강가술로 594 (총 4 필지) 외 3필지,주형 및 금형 제조업,펌프부품용 목형,055-251-9022,055-251-0696
410,(주)블루넷,경상남도 창원시 의창구 차룡로48번길 44 (팔용동) 1동 16층 1604호 1동 16층 1604호,배전반 및 전기 자동제어반 제조업 외 1 종,"유무선 네트워크, 데이터 게더링 솔루션",055-688-5927,
411,(주)비에이치,경상남도 창원시 마산회원구 봉암공단11길 76 (봉암동),자동차 엔진용 신품 부품 제조업 외 1 종,자동차부품,055-297-3666,055-297-3656
412,(주)비엠금속,경상남도 창원시 진해구 남의로43번길 42 (남양동),선철주물 주조업 외 2 종,자동차부품,055-548-9012,055-541-3506
413,(주)비엠수코리아,경상남도 창원시 마산합포구 진북면 진북산업로 644,농업 및 임업용 기계 제조업,농업용관리기계,055-241-3276,055-248-3276
414,(주)비츠로,경상남도 창원시 마산회원구 내서읍 수곡로 71-107,육상 금속 골조 구조재 제조업 외 4 종,"조명기구, 가로등주 외",055-238-3331,055-238-8003
415,(주)비티엑스,경상남도 창원시 의창구 팔용로346번길 38 (팔용동),"탭, 밸브 및 유사장치 제조업",밸브,055-256-6231,055-256-6230
416,(주)비티엑스코리아 창원공장,경상남도 창원시 성산구 웅남로 760 (성주동),그 외 자동차용 신품 부품 제조업 외 3 종,"자동차부품(차유리조립,브레이크파이프 등)",055-281-4301,055-281-4340
417,(주)비티엑스코리아 창원공장,경상남도 창원시 성산구 웅남로 760 (성주동),그 외 자동차용 신품 부품 제조업 외 3 종,"자동차부품(차유리조립,브레이크파이프 등)",055-281-4301,055-281-4340
418,(주)사람과기술,"경상남도 창원시 마산회원구 봉암북7길 21, 산업융합센터 4동 403,404,405호 (봉암동)",기타 무선 통신장비 제조업,어린이 문끼임 감지기,055-259-5970,055-259-5960
419,(주)사릭,"경상남도 창원시 성산구 정동로62번길 61 (성주동, (주)사릭)","증류기, 열교환기 및 가스발생기 제조업",산업설비부품,055-286-8558,055-286-8562
420,(주)사이언스,경상남도 창원시 성산구 연덕로 42(웅남동),기타 가정용 전기기기 제조업,건조기 제품조립 등 ,055-714-1915,055-714-1914
421,(주)산양 용원공장,경상남도 창원시 진해구 용원북로 19 (용원동),레미콘 제조업 외 1 종,"레미콘, 아스콘, 골재",055-552-2151,055-552-2240
422,(주)삼광,경상남도 창원시 마산회원구 내서읍 수곡로 16 (주)삼광,기어 및 동력전달장치 제조업 외 12 종,"기어 및 동력전달장치, 공기조화장치, 방산부품, 정밀부품",055-232-0331,055-232-0418
423,(주)삼광이앤티,"경상남도 창원시 마산합포구 3·15대로 298, 경남대창업보육관 503호 (서성동, 경남대학교 창업보육관)",기타 구조용 금속제품 제조업,방음시설 및 발전 플랜트 구조물,055-244-1016,
424,(주)삼광테크,경상남도 창원시 의창구 팔용로346번길 24 (팔용동),금속 절삭기계 제조업 외 5 종,공작기계부품,055-295-9686,055-294-2588
425,(주)삼기코아,경상남도 창원시 의창구 차룡로 57 (팔용동),주형 및 금형 제조업,금형부품,055-333-6262,055-333-5511
426,(주)삼보정밀,경상남도 창원시 의창구 북면 천주로633번길 2,주형 및 금형 제조업,플라스틱성형품,055-232-8144,055-232-8644
427,(주)삼산에스엘씨,경상남도 창원시 마산회원구 내서읍 용담리 51-1번지,도장 및 기타 피막처리업,자동차부품(고체윤활코팅),031-491-5580,031-491-5613
428,(주)삼성특수강,"경상남도 창원시 의창구 평산로8번길 33 (팔용동, (주)동서기전)",주형 및 금형 제조업,금형,055-293-6585,055-295-2658
429,(주)삼성하이텍,"경상남도 창원시 성산구 완암로 50, 넥스동 207호 (성산동, SK테크노파크)",교통 신호장치 제조업 외 1 종,"신호등, 무선인식, 조명기기, 전력기기",,
430,(주)삼양가방,"경상남도 창원시 마산회원구 삼호로 263 (회성동, 주택) 외 1필지",가방 및 기타 보호용 케이스 제조업,가방,055-292-6871,055-253-0607
431,(주)삼양공업,경상남도 창원시 성산구 반월로60번길 15 (신촌동),내연기관 제조업 외 1 종,중장비 부품,055-286-0303,055-286-0304
432,(주)삼양옵틱스,"경상남도 창원시 마산회원구 자유무역6길 123 (봉암동, 삼양옵틱스)",광학렌즈 및 광학요소 제조업,"카메라렌즈, CCTV렌즈",055-250-5600,055-292-3135
433,(주)삼연금속,경상남도 창원시 진해구 명제로35번길 37 (죽곡동),볼트 및 너트류 제조업 외 2 종,금속파스너 등,055-546-1508,055-551-7771
434,(주)삼우케이제이에스텍,경상남도 창원시 성산구 웅남로 328 (웅남동),강주물 주조업,산업용 밸브,055-285-7331,055-285-1666
435,(주)삼우테크,경상남도 창원시 의창구 차상로 182-14 (팔용동),주형 및 금형 제조업,건설중장비용 가공 및 용접 치구,055-286-6649,055-286-7020
436,(주)삼우필텍,경상남도 창원시 성산구 연덕로15번길 55 (웅남동),기체 여과기 제조업,"필터, 집진기 등",055-238-2663,055-238-2665
437,(주)삼원금속,경상남도 창원시 마산합포구 진북면 대티3길 90,그 외 기타 금속가공업,PVC창호보강재,055-286-9177,055-286-9180
438,(주)삼원농기계,경상남도 창원시 의창구 대산면 가술산단로 80,농업 및 임업용 기계 제조업,농기계,055-292-9263,055-292-9265
439,(주)삼윤,"경상남도 창원시 성산구 웅남로 316, 3동 1층 110,210,310,410 (웅남동)",그 외 기타 전자부품 제조업 외 1 종,"광케이블그물망, 자동화설비, 산업기계설비",055-291-0551,055-287-5209
440,(주)삼일,경상남도 창원시 마산회원구 무역로 57 (양덕동),기어 및 동력전달장치 제조업 외 1 종,각종 기어류 및 동력전달용 부품,055-252-8043,055-252-8048
441,(주)삼일하이텍,경상남도 창원시 성산구 공단로21번길 40 (신촌동),절삭가공 및 유사처리업,"방산부품(노리쇠,덮개)",055-266-4184,055-295-1867
442,(주)삼정,경상남도 창원시 의창구 북면 감계리 -번지 43B19L 외 1필지 외 1필지,금속탱크 및 저장용기 제조업 외 2 종,"해수담수화설비 및 선박 부분품, 조선기자재",,055-298-8377
443,(주)삼정시스템,경상남도 창원시 마산회원구 내서읍 수곡로 16-1,배전반 및 전기 자동제어반 제조업,배전반 및 전기자동제어반,055-231-3946,055-231-3947
444,(주)삼정오디세이,경상남도 창원시 마산합포구 진북면 산단2길 46-33,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,055-272-0078,055-272-0131
445,(주)삼정이앤더블유,경상남도 창원시 마산합포구 진북면 산단2길 78,내연기관 제조업 외 1 종,선박엔진부품,055-296-3555,055-294-8544
446,(주)삼정테크,경상남도 창원시 마산합포구 진북면 산단2길 104,그 외 기타 1차 철강 제조업,기타공작기계,055-223-4133,055-223-4134
447,(주)삼주금속,경상남도 창원시 진해구 남영로552번길 35 (남양동),"알루미늄 제련, 정련 및 합금 제조업",알루미늄인코트,055-547-4270,055-547-4272
448,(주)삼천리스틸,경상남도 창원시 마산회원구 봉암공단10길 5 (봉암동),그 외 기타 1차 철강 제조업,자동차부품,,055-295-4008
449,(주)삼한,"경상남도 창원시 성산구 연덕로 84 (웅남동, (주)삼한)",분말 야금제품 제조업,"자동차부품,산업기기부품,농기계부품",055-285-0041,055-282-0144
450,(주)삼현,경상남도 창원시 의창구 죽전로 45 (팔용동),그 외 금속파스너 및 나사제품 제조업 외 5 종,"DCT motor ass`y, CVVD AC motor Ass`y",055-294-0011,055-296-9695
451,(주)삼현,경상남도 창원시 의창구 평산로38번길 39 (팔용동),자동차용 신품 동력전달장치 제조업 외 4 종,DCT Motor Ass'y,055-294-0011,055-296-9695
452,(주)삼현,"경상남도 창원시 의창구 평산로8번길 21 (팔용동, (주)삼현)",금속 스프링 제조업 외 7 종,"자동차부품, 전자부품 스프링",055-294-0011,055-296-9695
453,(주)삼호엠.테크,경상남도 창원시 마산회원구 내서읍 중리공단로 45 ((상호없음)),절삭가공 및 유사처리업,"자동차부품, 유압용부품",055-232-3929,055-232-3933
454,(주)삼화양행,경상남도 창원시 진해구 남문동 0-0번지 TA1-2,인쇄회로기판용 적층판 제조업 외 2 종,인쇄회로기판,055-716-8617,055-716-8816
455,(주)상농전선 창원공장,"경상남도 창원시 성산구 완암로 9-46 (웅남동, (주)세일사)",절연 코드세트 및 기타 도체 제조업,에나멜 와이어,055-275-6671,055-275-6673
456,(주)상림엠에스피,경상남도 창원시 성산구 성산패총로 32 (성산동),그 외 기타 특수목적용 기계 제조업,기계유니트제작,055-287-1534,055-287-1535
457,(주)상명산업,경상남도 창원시 의창구 반계로 19-2 (팔용동),선박 구성 부분품 제조업,선박구성부분품,055-251-9300,055-251-9310
458,(주)상신,경상남도 창원시 마산합포구 진북면 산단1길 11,구조용 금속 판제품 및 공작물 제조업 외 8 종,"가드레일,낙석방지책,디자인휀스,난간,볼라드,울타리 및 철주",055-244-2176,055-243-3191
459,(주)상정케미칼,경상남도 창원시 마산합포구 진북면 진북산업로 415-23,"플라스틱 포대, 봉투 및 유사제품 제조업","플라스틱 포대, 봉투 ",055-222-7544,055-271-7545
460,(주)상진,경상남도 창원시 마산회원구 자유무역2길 69 (양덕동),섬유제품 기타 정리 및 마무리 가공업,초극세사 클리너,055-266-9470,055-294-9614
461,(주)새한나노텍,"경상남도 창원시 성산구 완암로 3, 5동 1층 5호 (웅남동)",반도체 제조용 기계 제조업,반도체 장비,055-586-1331,055-286-5469
462,(주)서광종합산업,"경상남도 창원시 의창구 팔용로359번길 20 (팔용동, 주식회사서광종합산업)","목재 포장용 상자, 드럼 및 유사용기 제조업",목상자,055-295-3605,055-295-3662
463,(주)서림산기 제2공장,경상남도 창원시 의창구 북면 단내로 413-17,내연기관 제조업 외 1 종,"엔진 베드, 스토어 프레임",055-299-8862,055-299-8863
464,(주)서림산기제1공장,"경상남도 창원시 성산구 공단로 223 (웅남동, (주)케이비알)",내연기관 제조업,선박엔진부품(케이스),055-261-8840,055-261-8044
465,(주)서림이피씨,경상남도 창원시 의창구 대산면 주남로503번길 42,배전반 및 전기 자동제어반 제조업,배전반 및 자동제어반,055-250-6188,055-250-6149
466,(주)서머텍코리아,경상남도 창원시 성산구 창원대로 1204 (성주동),도장 및 기타 피막처리업,항공기 엔진부품 표면처리,055-260-2482,055-287-8717
467,(주)서울스탠다드,"경상남도 창원시 성산구 완암로 50, 넥스동 4층 401 (성산동, SK테크노파크)",컴퓨터 모니터 제조업,군수용전시기(모니터류),070-4648-5500,02-6116-6134
468,(주)서일,경상남도 창원시 마산회원구 봉암공단11길 69 (봉암동),계면활성제 제조업,기계 등 세정액,055-256-0444,055-256-0366
469,(주)서전일렉스,"경상남도 창원시 성산구 완암로 50, 넥스동 6층 601호 (성산동, SK테크노파크)",기타 음향기기 제조업 외 7 종,"HDCAST 방송장비, 플러그용 잭",055-224-5121,055-248-7118
470,(주)서진엠텍,경상남도 창원시 마산합포구 진북면 망곡리 420-1번지,절삭가공 및 유사처리업,실린더부품,055-231-5292,055-231-5297
471,(주)서진정공,경상남도 창원시 의창구 대산면 가술산단로 51,항공기용 부품 제조업 외 5 종,항공기부품등,055-342-9767,055-342-9770
472,(주)서진테크,"경상남도 창원시 의창구 죽전로40번길 36 (팔용동, 서진정밀 2공장)",기타 가공 공작기계 제조업 외 1 종,공작기계용 머시닝센터,055-256-2671,055-256-2674
473,(주)서진테크,"경상남도 창원시 의창구 죽전로 37 (팔용동, (주)서진테크)",기타 가공 공작기계 제조업,공작기계용 부품,055-256-2671,
474,(주)서진테크,경상남도 창원시 진해구 웅천서로41번길 66 (제덕동),기타 가공 공작기계 제조업,공작기계 부품,055-256-2671,
475,(주)선광테크윈,경상남도 창원시 성산구 성산패총로24번길 16 (성산동) (주)대성파인텍,절삭가공 및 유사처리업,산업기계 정밀가공 부품,055-296-0816,
476,(주)선아이스틸,"경상남도 창원시 성산구 웅남로 830 (성주동, 태주실업(주))",그 외 기타 1차 철강 제조업,"철판절단가공포장,물류",055-274-0111,055-274-0511
477,(주)선우정밀,"경상남도 창원시 성산구 성산패총로24번길 20 (성산동, 선우정밀)",금속 절삭기계 제조업,공작기계부품,055-262-7727,055-262-7725
478,(주)선우테크,경상남도 창원시 의창구 죽전로40번길 45 (팔용동),절삭가공 및 유사처리업,굴삭기 부품,055-259-8905,055-295-8907
479,(주)선진,"경상남도 창원시 의창구 사화로 222-17 (팔용동, 으뜸정밀)",기타 가공 공작기계 제조업,기계부품 등,055-252-2678,055-252-7733
480,(주)선진기술,"경상남도 창원시 의창구 사화로 210, 1동 2층 208 (팔용동)",기타 가공 공작기계 제조업 외 1 종,스핀들유니트.3D프린터토너,055-213-4763,055-213-4763
481,(주)성덕전자,"경상남도 창원시 의창구 차룡로14번길 39 (팔용동, (주)성덕전자 공장)",기타 음향기기 제조업 외 1 종,"휴대폰, TV부품생산",055-256-5555,055-294-2802
482,(주)성림엔지니어링,"경상남도 창원시 성산구 연덕로15번길 59 (웅남동, (주)성림엔지니어링)",금속 절삭기계 제조업,"전용공작기계,SPINDLE UNT 및 FEED UNIT",055-266-0080,055-266-8432
483,(주)성민전자,경상남도 창원시 의창구 팔용로345번길 8 (팔용동),절연 코드세트 및 기타 도체 제조업,"냉장고 파워코드, 하네스",055-298-6242,055-298-6243
484,(주)성산글로팩,경상남도 창원시 의창구 대산면 가술길23번길 12-64,금속 캔 및 기타 포장용기 제조업,수출용 철재포장박스,055-299-3236,
485,(주)성산기계,경상남도 창원시 성산구 성주로137번길 31-8 (남산동) 외 1필지,변압기 제조업,변압방열기,055-262-8760,055-261-0075
486,(주)성산암데코,경상남도 창원시 마산회원구 봉암공단13길 7 (봉암동),금속 절삭기계 제조업 외 3 종,기타자동차부품,055-237-8665,
487,(주)성산암데코(성주동공장),"경상남도 창원시 성산구 곰절길10번길 2, (주)성산암데코 (성주동)",그 외 자동차용 신품 부품 제조업 외 3 종,브레이크 캘리퍼,055-237-8665,055-237-3680
488,(주)성산툴스,경상남도 창원시 의창구 평산로 6 (팔용동),톱 및 호환성 공구 제조업 외 1 종,"앤드밀, 드릴 등 절삭공구",055-283-3750,055-283-3751
489,(주)성아티엔에스,경상남도 창원시 성산구 공단로166번길 27-28 (신촌동),기기용 자동측정 및 제어장치 제조업,자동화설비,055-261-9895,055-261-9896
490,(주)성안기전,"경상남도 창원시 성산구 창곡로 116 (신촌동, (주)성안기전)",산업처리공정 제어장비 제조업,에어컨부품,055-286-0204,055-286-7022
491,(주)성안미크론,경상남도 창원시 의창구 차상로 182-30 (팔용동),주형 및 금형 제조업,반도체 LED금형 부품가공,055-252-0235,055-252-0236
492,(주)성암,경상남도 창원시 의창구 북면 백월로277번길 15,기타 물품 취급장비 제조업,"호이스트,자동콘베이어",055-252-1900,055-252-1902
493,(주)성우,경상남도 창원시 마산합포구 진북면 산단1길 29-5,기타 가공 공작기계 제조업 외 4 종,"컨베이어, CNC선반 등",055-297-9500,055-293-1006
494,(주)성우 2공장,경상남도 창원시 마산합포구 진북면 망곡리 421-7번지,기타 가공 공작기계 제조업 외 2 종,CNC선반 등,055-297-9500,055-293-1006
495,(주)성우미크론,"경상남도 창원시 성산구 창원대로1144번길 55 (성주동, 성우테크론(주))",그 외 기타 전자부품 제조업 외 1 종,리드프레임,055-279-8614,
